sep=;
"Country Name";"Country FAO Code";"Country ISO2";"Item Name";"Item FAO Code";"Item Category";"Unit of Measure";1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Belgium;255;BE;"Lettuce and chicory";372;Vegetables;m3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7663010;7602990;7002750;7002750;4741860;4409730;4257670;3801490;3315300;3677440;3601410;3401330;2601020;2400940;2400940;2571010;2589020
Belgium;255;BE;Maize;56;Cereals;m3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;125961000;142850000;166775008;185508000;183572992;190894000;198792992;187316992;253383008;234576000;220014000;253418000;241015008;260960992;222015008;205422000;183228000
Belgium;255;BE;"Mushrooms and truffles";449;Vegetables;m3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3968600;3702860;3885720;3931430;3867610;3786970;3728640;3672510;3657150;3601830;3579800;354944;384000;334199;315657;278309;269257
Belgium;255;BE;"Peaches and nectarines";534;Fruits;m3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Belgium;255;BE;Pears;521;Fruits;m3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31386900;31387000;32956200;34248300;35645100;40802900;41326100;42372300;42372300;42895400;42947700;42979100;44987800;46557200;47603400;48858900;50695000
Belgium;255;BE;Potatoes;116;Vegetables;m3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;233779008;220988992;219212000;210682000;237096992;230770000;238991008;241390000;226972000;261932000;290483008;292547008;229160000;267887008;288212992;279398016;316788992
Belgium;255;BE;"Pumpkins, squash and gourds";394;Vegetables;m3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;619299;726741;806226;1252040;1381780;1628010;1578490;1816090;2033010;2371250;3160200;3692610;2666270;828500;828503;1050760;2040900
Belgium;255;BE;Tomatoes;388;Vegetables;m3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3281450;3281450;3281450;2187630;2297020;2019920;1892300;1797510;1713650;1615200;1753750;1728230;1750110;1823030;1823030;1859490;1866780
France;68;FR;Apples;515;Fruits;m3;673043968;711646976;725257024;739366016;731486016;773763008;637665024;658265984;679771008;622153024;605873024;572353984;570817984;551724992;535286016;528359008;509958016;507240992;505326016;505327008;505327008;494267008;483896992;480876000;656716992;770777024;577219968;649804032;584132992;566849984;413545984;413932000;421447008;420513984;390096992;388403008;385457984;376852000;373692992;366516992;348516000;342025984;336321984;327439008;322988000;303390016;298992992;290843008;284815008;282790016;274611008;267622000;259872992;346816000;343311008;343000000
France;68;FR;Asparagus;367;Vegetables;m3;142950000;150012000;159934000;164619008;161414000;165830000;165234000;143268000;147860992;129560000;118831000;122461000;120165000;117673000;116744000;113435000;113428000;112422000;114135000;101798000;102412000;103649000;102415000;101798000;101796000;110434000;106115000;88223504;88840496;88686400;80086496;69943296;69087104;69622304;66110800;62811500;59784100;55026000;53754900;50589900;48953400;45289400;41978500;37684300;36993000;34488100;34092400;33099900;32513300;30100900;29719000;27702100;27732000;27663900;26850000;26954400
France;68;FR;"Carrots and turnips";426;Vegetables;m3;96629800;95393696;94130896;86884200;86732000;79884600;78610400;73661200;84156496;83688496;73182000;66254900;66266200;71443400;73201000;72253904;76902304;70602896;69218200;66201600;69613696;73798200;68092096;74939400;74939296;67711800;63907700;65809700;63907700;65809700;80337400;76887000;76114896;79823800;78983104;78191800;74619800;73668800;77800000;75571000;75350200;74441104;72501104;69062304;66692300;64984300;62652400;62492500;60898800;64756000;60689400;54907300;54504200;45606500;46664000;48102000
