,Years,Item Name,Country Name,Item Category,Weight_t,uWF
130,1961,Pears,Hungary,Fruits,41600.0,338.8720092773437
131,1961,Pears,Italy,Fruits,791001.0,511.4320068359375
132,1961,Pears,Morocco,Fruits,2000.0,
133,1961,Pears,Netherlands,Fruits,125000.0,211.4750061035156
134,1961,Pears,Poland,Fruits,21100.0,19.30500030517578
135,1961,Pears,Portugal,Fruits,50000.0,740.8140258789062
136,1961,Pears,Romania,Fruits,29000.0,338.8720092773437
137,1961,Pears,Spain,Fruits,125000.0,458.510009765625
138,1961,Pears,Turkey,Fruits,145200.0,2116.8798828125
139,1961,Potatoes,Austria,Vegetables,3394821.0,195.40499877929688
140,1961,Potatoes,France,Vegetables,14331144.0,236.41099548339844
141,1961,Potatoes,Germany,Vegetables,29945515.0,202.81300354003903
142,1961,Potatoes,Greece,Vegetables,400184.0,514.1010131835938
143,1961,Potatoes,Hungary,Vegetables,1830022.0,528.6500244140625
144,1961,Potatoes,Italy,Vegetables,3931501.0,402.6629943847656
145,1961,Potatoes,Morocco,Vegetables,150000.0,337.79400634765625
146,1961,Potatoes,Netherlands,Vegetables,3719674.0,124.0770034790039
147,1961,Potatoes,Poland,Vegetables,45202978.0,219.08599853515625
148,1961,Potatoes,Portugal,Vegetables,1055595.0,607.1790161132812
149,1961,Potatoes,Romania,Vegetables,2874807.0,394.4960021972656
150,1961,Potatoes,Spain,Vegetables,4918315.0,348.10699462890625
151,1961,Potatoes,Turkey,Vegetables,1405000.0,360.1679992675781
152,1961,"Pumpkins, squash and gourds",France,Vegetables,171060.0,53.9009017944336
153,1961,"Pumpkins, squash and gourds",Greece,Vegetables,43396.0,31.976299285888672
154,1961,"Pumpkins, squash and gourds",Hungary,Vegetables,37071.0,183.1309967041016
155,1961,"Pumpkins, squash and gourds",Italy,Vegetables,287000.0,158.98800659179688
156,1961,"Pumpkins, squash and gourds",Morocco,Vegetables,55000.0,120.07599639892578
157,1961,"Pumpkins, squash and gourds",Portugal,Vegetables,1500.0,195.35299682617188
158,1961,"Pumpkins, squash and gourds",Romania,Vegetables,1823201.0,3142.389892578125
159,1961,"Pumpkins, squash and gourds",Spain,Vegetables,147000.0,144.072998046875
160,1961,"Pumpkins, squash and gourds",Turkey,Vegetables,330001.0,206.45199584960935
161,1961,Tomatoes,Austria,Vegetables,8965.0,137.72300720214844
162,1961,Tomatoes,France,Vegetables,530399.0,169.62100219726562
163,1961,Tomatoes,Germany,Vegetables,63345.0,154.1320037841797
164,1961,Tomatoes,Greece,Vegetables,368273.0,252.69900512695312
165,1961,Tomatoes,Hungary,Vegetables,296624.0,302.8720092773437
166,1961,Tomatoes,Italy,Vegetables,2676002.0,232.90899658203125
167,1961,Tomatoes,Morocco,Vegetables,200000.0,314.6860046386719
168,1961,Tomatoes,Netherlands,Vegetables,225196.0,41.64540100097656
169,1961,Tomatoes,Poland,Vegetables,199600.0,372.2619934082031
170,1961,Tomatoes,Portugal,Vegetables,179400.0,162.75999450683594
171,1961,Tomatoes,Romania,Vegetables,402001.0,325.593994140625
172,1961,Tomatoes,Spain,Vegetables,1204996.0,160.58399963378906
173,1961,Tomatoes,Turkey,Vegetables,1119998.0,256.09600830078125
174,1962,Apples,Austria,Fruits,431000.0,67.49030303955078
175,1962,Apples,France,Fruits,5050007.0,140.9199981689453
176,1962,Apples,Germany,Fruits,2058997.0,134.32899475097656
177,1962,Apples,Greece,Fruits,206000.0,985.594970703125
178,1962,Apples,Hungary,Fruits,314900.0,794.2670288085938
179,1962,Apples,Italy,Fruits,2182001.0,343.2619934082031
180,1962,Apples,Morocco,Fruits,3000.0,1802.6400146484373
181,1962,Apples,Netherlands,Fruits,226000.0,134.32899475097656
182,1962,Apples,Poland,Fruits,160000.0,794.2670288085938
183,1962,Apples,Portugal,Fruits,58000.0,1802.6400146484373
184,1962,Apples,Romania,Fruits,132000.0,794.2670288085938
185,1962,Apples,Spain,Fruits,274500.0,550.4290161132812
186,1962,Apples,Turkey,Fruits,322000.0,749.9819946289062
187,1962,Asparagus,Austria,Vegetables,171.0,
188,1962,Asparagus,France,Vegetables,67090.0,2235.97998046875
189,1962,Asparagus,Germany,Vegetables,16100.0,2313.3798828125
190,1962,Asparagus,Hungary,Vegetables,546.0,
191,1962,Asparagus,Italy,Vegetables,32300.0,1225.0899658203125
192,1962,Asparagus,Morocco,Vegetables,20000.0,4266.52978515625
