sep=;
"Country Name";"Country FAO Code";"Country ISO2";"Item Name";"Item FAO Code";"Item Category";"Unit of Measure";2016
Netherlands;150;NL;Coconuts;249;Fruits;m3/ton;0
Netherlands;150;NL;Dates;577;Fruits;m3/ton;0
Netherlands;150;NL;Grapes;560;Fruits;m3/ton;21696.099609375
Netherlands;150;NL;"Lemons and limes";497;Fruits;m3/ton;0
Netherlands;150;NL;"Lettuce and chicory";372;Vegetables;m3/ton;81.37190246582031
Netherlands;150;NL;Maize;56;Cereals;m3/ton;315.5610046386719
Netherlands;150;NL;"Mushrooms and truffles";449;Vegetables;m3/ton;86.51920318603516
Netherlands;150;NL;Olives;260;Fruits;m3/ton;0
Netherlands;150;NL;"Onions (inc. shallots), green";402;Vegetables;m3/ton;71.81739807128906
Netherlands;150;NL;Pineapples;574;Fruits;m3/ton;0
Netherlands;150;NL;Potatoes;116;Vegetables;m3/ton;82.84259796142578
Netherlands;150;NL;"Pumpkins, squash and gourds";394;Vegetables;m3/ton;49.247798919677734
Netherlands;150;NL;"Rice, paddy";27;Cereals;m3/ton;0
Netherlands;150;NL;Strawberries;544;Fruits;m3/ton;82.64119720458984
Netherlands;150;NL;Tomatoes;388;Vegetables;m3/ton;6.629479885101318
"New Zealand";156;NZ;"Almonds, with shell";221;Fruits;m3/ton;0
"New Zealand";156;NZ;Apples;515;Fruits;m3/ton;167.78700256347656
"New Zealand";156;NZ;Avocados;572;Fruits;m3/ton;1444.8800048828125
"New Zealand";156;NZ;Bananas;486;Fruits;m3/ton;0
"New Zealand";156;NZ;"Carrots and turnips";426;Vegetables;m3/ton;53.6885986328125
"New Zealand";156;NZ;"Cocoa beans";661;Lux-foods;m3/ton;0
"New Zealand";156;NZ;Coconuts;249;Fruits;m3/ton;0
"New Zealand";156;NZ;Dates;577;Fruits;m3/ton;0
"New Zealand";156;NZ;Grapes;560;Fruits;m3/ton;400.3059997558594
"New Zealand";156;NZ;"Lemons and limes";497;Fruits;m3/ton;454.5459899902344
"New Zealand";156;NZ;"Lettuce and chicory";372;Vegetables;m3/ton;121.48999786376953
"New Zealand";156;NZ;Maize;56;Cereals;m3/ton;543.2360229492188
"New Zealand";156;NZ;"Mushrooms and truffles";449;Vegetables;m3/ton;308.4630126953125
"New Zealand";156;NZ;Olives;260;Fruits;m3/ton;0
"New Zealand";156;NZ;"Onions (inc. shallots), green";402;Vegetables;m3/ton;73.31539916992188
"New Zealand";156;NZ;Pineapples;574;Fruits;m3/ton;0
"New Zealand";156;NZ;Potatoes;116;Vegetables;m3/ton;70.6488037109375
"New Zealand";156;NZ;"Pumpkins, squash and gourds";394;Vegetables;m3/ton;188.02000427246094
"New Zealand";156;NZ;"Rice, paddy";27;Cereals;m3/ton;0
"New Zealand";156;NZ;Strawberries;544;Fruits;m3/ton;223.13699340820312
"New Zealand";156;NZ;Tomatoes;388;Vegetables;m3/ton;35.57270050048828
Spain;203;ES;"Almonds, with shell";221;Fruits;m3/ton;14358.900390625
Spain;203;ES;Apples;515;Fruits;m3/ton;445.5849914550781
Spain;203;ES;Avocados;572;Fruits;m3/ton;776.4879760742188
Spain;203;ES;Bananas;486;Fruits;m3/ton;255.41600036621094
Spain;203;ES;"Carrots and turnips";426;Vegetables;m3/ton;106.64199829101562
Spain;203;ES;"Cocoa beans";661;Lux-foods;m3/ton;0
Spain;203;ES;Coconuts;249;Fruits;m3/ton;0
Spain;203;ES;Dates;577;Fruits;m3/ton;1017.030029296875
Spain;203;ES;Grapes;560;Fruits;m3/ton;705.1719970703125
Spain;203;ES;"Lemons and limes";497;Fruits;m3/ton;385.1860046386719
Spain;203;ES;"Lettuce and chicory";372;Vegetables;m3/ton;124.38600158691406
Spain;203;ES;Maize;56;Cereals;m3/ton;609.552001953125
Spain;203;ES;"Mushrooms and truffles";449;Vegetables;m3/ton;84.85880279541016
