sep=;
"Country Name";"Country FAO Code";"Country ISO2";"Item Name";"Item FAO Code";"Item Category";"Unit of Measure";Value
Morocco;143;MA;Butterm.,Curdl,Acid.Milk;893;"Diary & Eggs";m3/ton;0
Netherlands;150;NL;Butterm.,Curdl,Acid.Milk;893;"Diary & Eggs";m3/ton;0
Poland;173;PL;Butterm.,Curdl,Acid.Milk;893;"Diary & Eggs";m3/ton;0
Portugal;174;PT;Butterm.,Curdl,Acid.Milk;893;"Diary & Eggs";m3/ton;0
Romania;183;RO;Butterm.,Curdl,Acid.Milk;893;"Diary & Eggs";m3/ton;0
Serbia;272;RS;Butterm.,Curdl,Acid.Milk;893;"Diary & Eggs";m3/ton;0
Spain;203;ES;Butterm.,Curdl,Acid.Milk;893;"Diary & Eggs";m3/ton;0
Turkey;223;TR;Butterm.,Curdl,Acid.Milk;893;"Diary & Eggs";m3/ton;0
Austria;11;AT;"Milk, whole evaporated";894;"Diary & Eggs";m3/ton;0
Belgium;255;BE;"Milk, whole evaporated";894;"Diary & Eggs";m3/ton;0
France;68;FR;"Milk, whole evaporated";894;"Diary & Eggs";m3/ton;0
Germany;79;DE;"Milk, whole evaporated";894;"Diary & Eggs";m3/ton;0
Greece;84;GR;"Milk, whole evaporated";894;"Diary & Eggs";m3/ton;0
Hungary;97;HU;"Milk, whole evaporated";894;"Diary & Eggs";m3/ton;0
Italy;106;IT;"Milk, whole evaporated";894;"Diary & Eggs";m3/ton;0
Morocco;143;MA;"Milk, whole evaporated";894;"Diary & Eggs";m3/ton;0
Netherlands;150;NL;"Milk, whole evaporated";894;"Diary & Eggs";m3/ton;0
Poland;173;PL;"Milk, whole evaporated";894;"Diary & Eggs";m3/ton;0
Portugal;174;PT;"Milk, whole evaporated";894;"Diary & Eggs";m3/ton;0
Romania;183;RO;"Milk, whole evaporated";894;"Diary & Eggs";m3/ton;0
Serbia;272;RS;"Milk, whole evaporated";894;"Diary & Eggs";m3/ton;0
Spain;203;ES;"Milk, whole evaporated";894;"Diary & Eggs";m3/ton;0
Turkey;223;TR;"Milk, whole evaporated";894;"Diary & Eggs";m3/ton;0
Austria;11;AT;"Milk Whole Dried";897;"Diary & Eggs";m3/ton;0
Belgium;255;BE;"Milk Whole Dried";897;"Diary & Eggs";m3/ton;0
France;68;FR;"Milk Whole Dried";897;"Diary & Eggs";m3/ton;0
Germany;79;DE;"Milk Whole Dried";897;"Diary & Eggs";m3/ton;0
Greece;84;GR;"Milk Whole Dried";897;"Diary & Eggs";m3/ton;0
Hungary;97;HU;"Milk Whole Dried";897;"Diary & Eggs";m3/ton;0
Italy;106;IT;"Milk Whole Dried";897;"Diary & Eggs";m3/ton;0
Morocco;143;MA;"Milk Whole Dried";897;"Diary & Eggs";m3/ton;0
Netherlands;150;NL;"Milk Whole Dried";897;"Diary & Eggs";m3/ton;0
Poland;173;PL;"Milk Whole Dried";897;"Diary & Eggs";m3/ton;0
Portugal;174;PT;"Milk Whole Dried";897;"Diary & Eggs";m3/ton;0
