,Years,Item Name,Country Name,Item Category,Weight_t,uWF
119,1961,Buckwheat,France,Cereals,55660.0,2230.530029296875
120,1961,Buckwheat,Poland,Cereals,59000.0,2820.929931640625
121,1961,Cabbages and other brassicas,Austria,Vegetables,135271.0,117.66300201416016
122,1961,Cabbages and other brassicas,France,Vegetables,596718.0,242.5970001220703
123,1961,Cabbages and other brassicas,Germany,Vegetables,869838.0,137.4669952392578
124,1961,Cabbages and other brassicas,Greece,Vegetables,61028.0,443.08599853515625
125,1961,Cabbages and other brassicas,Hungary,Vegetables,148601.0,368.8089904785156
126,1961,Cabbages and other brassicas,Italy,Vegetables,810502.0,271.23699951171875
127,1961,Cabbages and other brassicas,Morocco,Vegetables,400.0,
128,1961,Cabbages and other brassicas,Netherlands,Vegetables,174975.0,175.6929931640625
129,1961,Cabbages and other brassicas,Poland,Vegetables,1497196.0,134.2969970703125
130,1961,Cabbages and other brassicas,Portugal,Vegetables,70000.0,264.6600036621094
131,1961,Cabbages and other brassicas,Romania,Vegetables,477200.0,209.5829925537109
132,1961,Cabbages and other brassicas,Spain,Vegetables,793952.0,181.802001953125
133,1961,Cabbages and other brassicas,Turkey,Vegetables,269999.0,242.04800415039065
134,1961,Canary seed,Morocco,Non edible,2400.0,17589.19921875
135,1961,Canary seed,Netherlands,Non edible,2301.0,553.719970703125
136,1961,Canary seed,Spain,Non edible,1622.0,4684.60986328125
137,1961,Canary seed,Turkey,Non edible,15800.0,4630.91015625
138,1961,Carobs,Greece,Vegetables,39295.0,954.0650024414062
139,1961,Carobs,Italy,Vegetables,105200.0,1026.949951171875
140,1961,Carobs,Morocco,Vegetables,15000.0,4069.840087890625
141,1961,Carobs,Portugal,Vegetables,40660.0,3957.89990234375
142,1961,Carobs,Spain,Vegetables,375399.0,3957.89990234375
143,1961,Carobs,Turkey,Vegetables,11600.0,3225.5400390625
144,1961,Carrots and turnips,Austria,Vegetables,14510.0,148.2169952392578
145,1961,Carrots and turnips,France,Vegetables,606350.0,159.36300659179688
146,1961,Carrots and turnips,Germany,Vegetables,200762.0,150.22799682617188
147,1961,Carrots and turnips,Greece,Vegetables,6341.0,355.5509948730469
148,1961,Carrots and turnips,Hungary,Vegetables,64236.0,184.05099487304688
149,1961,Carrots and turnips,Italy,Vegetables,133401.0,140.73399353027344
150,1961,Carrots and turnips,Morocco,Vegetables,23000.0,868.1019897460938
151,1961,Carrots and turnips,Netherlands,Vegetables,105576.0,95.1981964111328
152,1961,Carrots and turnips,Poland,Vegetables,352000.0,92.2677001953125
153,1961,Carrots and turnips,Portugal,Vegetables,35000.0,162.7550048828125
154,1961,Carrots and turnips,Spain,Vegetables,14507.0,446.3789978027344
155,1961,Carrots and turnips,Turkey,Vegetables,30000.0,720.9990234375
156,1961,Castor oil seed,Hungary,Seeds & Oils,1869.0,6750.509765625
157,1961,Castor oil seed,Italy,Seeds & Oils,6.0,
158,1961,Castor oil seed,Morocco,Seeds & Oils,600.0,7558.18994140625
159,1961,Castor oil seed,Romania,Seeds & Oils,20300.0,6650.31005859375
160,1961,Cauliflowers and broccoli,France,Vegetables,429799.0,185.1519927978516
161,1961,Cauliflowers and broccoli,Germany,Vegetables,128945.0,170.95799255371094
162,1961,Cauliflowers and broccoli,Greece,Vegetables,23840.0,383.0530090332031
163,1961,Cauliflowers and broccoli,Hungary,Vegetables,22081.0,454.16900634765625
164,1961,Cauliflowers and broccoli,Italy,Vegetables,656502.0,190.6269989013672
165,1961,Cauliflowers and broccoli,Morocco,Vegetables,500.0,
166,1961,Cauliflowers and broccoli,Netherlands,Vegetables,57067.0,265.739990234375
167,1961,Cauliflowers and broccoli,Poland,Vegetables,40000.0,219.6909942626953
168,1961,Cauliflowers and broccoli,Spain,Vegetables,264209.0,131.83799743652344
169,1961,Cauliflowers and broccoli,Turkey,Vegetables,30000.0,147.86700439453125
170,1961,"Cereals, nes",Hungary,Cereals,12000.0,1903.800048828125
171,1961,"Cereals, nes",Italy,Cereals,25000.0,1132.02001953125
172,1961,"Cereals, nes",Morocco,Cereals,30500.0,3758.43994140625
173,1961,Cherries,Austria,Fruits,36029.0,562.72802734375
174,1961,Cherries,France,Fruits,92500.0,978.0260009765624
175,1961,Cherries,Germany,Fruits,184245.0,562.72802734375
176,1961,Cherries,Greece,Fruits,17351.0,2063.010009765625
177,1961,Cherries,Hungary,Fruits,45500.0,342.6969909667969
178,1961,Cherries,Italy,Fruits,202501.0,2063.010009765625
179,1961,Cherries,Morocco,Fruits,20.0,
180,1961,Cherries,Netherlands,Fruits,9308.0,562.72802734375
181,1961,Cherries,Poland,Fruits,36700.0,562.72802734375
182,1961,Cherries,Portugal,Fruits,29600.0,618.739990234375
183,1961,Cherries,Romania,Fruits,51300.0,342.6969909667969
184,1961,Cherries,Spain,Fruits,47400.0,417.760009765625
185,1961,Cherries,Turkey,Fruits,48000.0,1053.0699462890625
186,1961,Chestnuts,France,Fruits,71230.0,3483.81005859375
187,1961,Chestnuts,Greece,Fruits,12634.0,1182.949951171875
188,1961,Chestnuts,Hungary,Fruits,800.0,1182.949951171875
189,1961,Chestnuts,Italy,Fruits,123854.0,1182.949951171875
